#OBS: Time(MJD) filter ignore flux flux_err mag mag_err
OBS: 56501.4 r NULL  381.318 19.995 -11.453 0.057
OBS: 56507.6 r NULL  358.052 16.749 -11.385 0.051
OBS: 56508.5 r NULL  340.972 17.818 -11.332 0.057
OBS: 56512.6 r NULL  324.226 17.487 -11.277 0.059
OBS: 56518.5 r NULL  340.179 16.122 -11.329 0.051
OBS: 56531.5 r NULL  264.510 19.693 -11.056 0.081
OBS: 56534.5 r NULL  300.633 22.422 -11.195 0.081
OBS: 56538.3 r NULL  230.992 17.585 -10.909 0.083
OBS: 56545.3 r NULL  195.239 18.949 -10.726 0.105
OBS: 56571.2 r NULL  103.668 21.066 -10.039 0.221
OBS: 56590.3 r NULL  132.150 19.322 -10.303 0.159
OBS: 56593.3 r NULL  141.886 16.849 -10.380 0.129
OBS: 56596.3 r NULL  110.733 19.761 -10.111 0.194
OBS: 56597.3 r NULL  133.388 18.662 -10.313 0.152
OBS: 56626.2 r NULL  85.471 46.322 -9.830 0.588
OBS: 54985.6 i NULL  -2.292 19.487 nan -9.231
OBS: 54986.6 i NULL  4.225 19.676 -6.565 5.056
OBS: 55012.5 i NULL  -35.906 20.536 nan -0.621
OBS: 55072.5 i NULL  -83.773 21.069 nan -0.273
OBS: 55087.5 i NULL  -29.487 21.757 nan -0.801
OBS: 55090.4 i NULL  4.831 19.264 -6.710 4.329
OBS: 55093.5 i NULL  -40.784 22.275 nan -0.593
OBS: 55096.4 i NULL  49.207 20.775 -9.230 0.458
OBS: 55102.4 i NULL  -33.684 43.951 nan -1.417
OBS: 55408.5 i NULL  4.728 25.168 -6.687 5.779
OBS: 55411.5 i NULL  -54.587 34.315 nan -0.683
OBS: 55414.5 i NULL  1.212 19.157 -5.209 17.161
OBS: 55417.5 i NULL  0.698 18.459 -4.609 28.717
OBS: 55423.5 i NULL  -7.790 19.869 nan -2.769
OBS: 55426.5 i NULL  -24.017 21.941 nan -0.992
OBS: 55429.5 i NULL  -16.266 21.404 nan -1.429
OBS: 55438.5 i NULL  -10.631 19.376 nan -1.979
OBS: 55441.5 i NULL  37.358 22.722 -8.931 0.660
OBS: 55444.4 i NULL  3.196 18.776 -6.262 6.378
OBS: 55447.4 i NULL  4.191 20.037 -6.556 5.191
OBS: 55450.4 i NULL  46.721 22.814 -9.174 0.530
OBS: 55453.4 i NULL  -24.286 19.254 nan -0.861
OBS: 55456.4 i NULL  13.452 19.114 -7.822 1.543
OBS: 55465.5 i NULL  21.658 22.488 -8.339 1.127
OBS: 55468.3 i NULL  -8.487 18.741 nan -2.397
OBS: 55477.2 i NULL  11.865 20.151 -7.686 1.844
OBS: 55480.2 i NULL  24.870 20.366 -8.489 0.889
OBS: 55483.2 i NULL  -6.235 18.205 nan -3.170
OBS: 55486.3 i NULL  -13.459 25.174 nan -2.031
OBS: 55498.2 i NULL  -8.904 18.499 nan -2.256
OBS: 55501.4 i NULL  31.576 21.672 -8.748 0.745
OBS: 55507.3 i NULL  1.086 21.466 -5.090 21.459
OBS: 55510.2 i NULL  -25.140 19.892 nan -0.859
OBS: 55534.3 i NULL  2.332 21.987 -5.920 10.235
OBS: 55738.6 i NULL  -2.231 21.596 nan -10.512
OBS: 55741.6 i NULL  0.714 20.499 -4.635 31.163
OBS: 55747.6 i NULL  -2.095 19.112 nan -9.906
OBS: 55765.6 i NULL  -22.383 20.195 nan -0.980
OBS: 55768.6 i NULL  -37.700 18.630 nan -0.537
OBS: 55771.4 i NULL  0.105 30.325 -2.558 312.085
OBS: 55774.6 i NULL  2.032 18.091 -5.770 9.665
OBS: 55777.4 i NULL  -18.462 19.315 nan -1.136
OBS: 55792.6 i NULL  -23.974 18.938 nan -0.858
OBS: 55801.3 i NULL  -1.126 19.385 nan -18.687
OBS: 55804.5 i NULL  -1.527 19.163 nan -13.627
OBS: 55807.3 i NULL  -23.718 94.242 nan -4.314
OBS: 55810.3 i NULL  1.540 17.996 -5.469 12.686
OBS: 55819.3 i NULL  -12.629 20.179 nan -1.735
OBS: 55822.5 i NULL  2.262 19.026 -5.886 9.133
OBS: 55825.3 i NULL  -3.477 20.237 nan -6.319
OBS: 55834.3 i NULL  26.072 21.041 -8.540 0.876
OBS: 55850.3 i NULL  12.736 18.072 -7.763 1.541
OBS: 55853.4 i NULL  -6.011 18.491 nan -3.340
OBS: 55861.3 i NULL  5.250 18.665 -6.800 3.860
OBS: 55882.2 i NULL  96.850 62.288 -9.965 0.698
OBS: 56136.6 i NULL  26072.088 396.982 -16.040 0.017
OBS: 56148.5 i NULL  56728.024 3395.875 -16.884 0.065
OBS: 56151.6 i NULL  62364.477 1779.979 -16.987 0.031
OBS: 56156.5 i NULL  75031.423 979.892 -17.188 0.014
OBS: 56166.4 i NULL  50324.198 618.798 -16.754 0.013
OBS: 56174.3 i NULL  38811.609 295.452 -16.472 0.008
OBS: 56207.4 i NULL  17485.019 195.118 -15.607 0.012
OBS: 56210.3 i NULL  16113.460 198.667 -15.518 0.013
OBS: 56213.3 i NULL  14457.326 83.421 -15.400 0.006
OBS: 56215.2 i NULL  14623.449 89.713 -15.413 0.007
OBS: 56218.2 i NULL  14082.896 126.297 -15.372 0.010
OBS: 56221.3 i NULL  13426.686 68.705 -15.320 0.006
OBS: 56239.2 i NULL  9275.407 48.262 -14.918 0.006
OBS: 56242.2 i NULL  9489.562 38.005 -14.943 0.004
OBS: 56284.2 i NULL  5274.918 48.856 -14.306 0.010
OBS: 56473.5 i NULL  432.302 19.288 -11.589 0.048
OBS: 56481.6 i NULL  365.192 18.441 -11.406 0.055
OBS: 56484.5 i NULL  328.398 24.811 -11.291 0.082
OBS: 56491.5 i NULL  310.405 18.710 -11.230 0.065
OBS: 56505.4 i NULL  223.436 19.186 -10.873 0.093
OBS: 56508.6 i NULL  219.886 19.396 -10.855 0.096
OBS: 56513.6 i NULL  225.935 19.525 -10.885 0.094
OBS: 56516.5 i NULL  216.460 19.619 -10.838 0.098
OBS: 56520.5 i NULL  212.135 20.722 -10.817 0.106
OBS: 56532.4 i NULL  119.683 22.600 -10.195 0.205
OBS: 56538.4 i NULL  167.762 18.437 -10.562 0.119
OBS: 56540.4 i NULL  137.368 20.200 -10.345 0.160
OBS: 56550.5 i NULL  90.060 32.112 -9.886 0.387
OBS: 56558.4 i NULL  124.877 22.307 -10.241 0.194
OBS: 56564.4 i NULL  109.048 29.153 -10.094 0.290
OBS: 56567.2 i NULL  112.835 35.466 -10.131 0.341
OBS: 56569.3 i NULL  88.202 22.990 -9.864 0.283
OBS: 56575.3 i NULL  83.151 19.252 -9.800 0.251
OBS: 56588.4 i NULL  57.039 19.498 -9.390 0.371
OBS: 56597.2 i NULL  63.821 19.065 -9.512 0.324
OBS: 56599.3 i NULL  61.502 21.347 -9.472 0.377
OBS: 56626.2 i NULL  -9.213 44.309 nan -5.222
OBS: 54998.6 z NULL  1.406 31.317 -5.370 24.178
OBS: 55013.6 z NULL  -40.174 36.024 nan -0.974
OBS: 55016.6 z NULL  -21.626 31.477 nan -1.580
OBS: 55034.5 z NULL  3.319 28.024 -6.303 9.167
